idfangraphs,mlbid,Name,Year,Team,age,wOBA,AVG,OBP,SLG,PA,AB,R,H,S,D,T,HR,RBI,SB,CS,BB,SO
17696,621028,Kevin Newman,2022,PIT,29,0.293,0.249,0.299,0.354,385,353,38,88,65,15,2,6,34,5,2,24,47
5384,501571,Juan Lagares,2022,FA,33,0.293,0.235,0.283,0.377,364,332,44,78,49,19,2,8,40,3,2,23,86
2900,547379,Roberto Perez,2022,PIT,34,0.292,0.206,0.287,0.365,474,417,44,86,56,13,1,17,50,3,1,45,137
9345,571788,Brock Holt,2022,FA,34,0.292,0.233,0.303,0.34,356,318,38,74,51,17,1,5,32,4,1,31,74
8709,462101,Elvis Andrus,2022,OAK,34,0.291,0.243,0.294,0.352,612,559,70,136,97,27,2,10,54,17,4,39,100
16930,641680,Jonah Heim,2022,TEX,27,0.289,0.223,0.28,0.372,496,452,51,101,64,20,1,15,58,5,2,35,96
10847,592743,Andrelton Simmons,2022,FA,33,0.289,0.246,0.304,0.333,457,418,49,103,79,18,0,6,39,5,1,32,67
12907,570256,Gregory Polanco,2022,FA,31,0.286,0.207,0.276,0.363,434,386,44,80,48,16,1,14,47,10,2,37,124
14352,621446,Lewis Brinson,2022,FA,28,0.282,0.224,0.277,0.359,372,343,37,77,50,17,1,9,39,5,1,23,93
5273,506702,Sandy Leon,2022,FA,33,0.269,0.198,0.276,0.311,330,293,28,58,40,9,0,8,28,1,0,29,84
12976,595978,Austin Hedges,2022,CLE,30,0.264,0.194,0.253,0.333,499,444,50,86,55,14,0,16,50,3,1,35,133
